logged_at_utc,position_id,coin,size,period_hours,hl_funding_actual_usd,mexc_funding_actual_usd,total_funding_actual_usd,total_funding_theoretical_usd,accuracy_pct,entry_fees_usd,slippage_usd,net_pnl_usd,annualized_apy_pct,hl_wallet
2026-03-29 15:44:14,POS-001,ETH,0.2491,23.39,0.142173,0.0,0.142173,0.090705,156.74,0.46,0.0,-0.317827,10.54,0xA3E3B7...
2026-03-29 16:49:48,POS-001,ETH,0.2491,1.09,0.003826,0.0,0.003826,0.006904,55.41,0.46,0.0,-0.314001,6.07,0xA3E3B7...
2026-03-29 17:44:52,POS-001,ETH,0.2491,0.92,0.00622,0.0,0.00622,0.005798,107.28,0.46,0.0,-0.307781,11.75,0xA3E3B7...
2026-03-29 18:59:56,POS-001,ETH,0.2491,1.25,0.006212,0.0,0.006212,0.007904,78.59,0.46,0.0,-0.301569,8.61,0xA3E3B7...
2026-03-29 19:42:38,POS-001,ETH,0.2491,0.71,0.006219,0.0,0.006219,0.004378,142.05,0.46,0.0,-0.29535,15.15,0xA3E3B7...
2026-03-29 20:48:10,POS-001,ETH,0.2491,1.09,0.005244,0.0,0.005244,0.006715,78.09,0.46,0.0,-0.290106,8.32,0xA3E3B7...
2026-03-29 21:44:34,POS-001,ETH,0.2491,0.94,0.00585,0.0,0.00585,0.005275,110.89,0.46,0.0,-0.284256,10.78,0xA3E3B7...
2026-03-29 22:48:34,POS-001,ETH,0.2491,1.07,0.006233,0.0,0.006233,0.005047,123.5,0.46,0.0,-0.278023,10.13,0xA3E3B7...
2026-03-29 23:45:49,POS-001,ETH,0.2491,0.95,0.000804,0.0,0.000804,0.001458,55.15,0.46,0.0,-0.277219,1.46,0xA3E3B7...
2026-03-30 03:35:15,POS-001,ETH,0.2491,3.82,0.013654,0.0,0.013654,0.016029,85.18,0.46,0.0,-0.263565,6.19,0xA3E3B7...
2026-03-30 06:05:37,POS-001,ETH,0.2491,2.51,0.019094,0.0,0.019094,0.015832,120.61,0.46,0.0,-0.244471,13.21,0xA3E3B7...
2026-03-30 07:58:15,POS-001,ETH,0.2491,1.88,0.006091,0.0,0.006091,0.005862,103.91,0.46,0.0,-0.23838,5.62,0xA3E3B7...
2026-03-30 09:44:49,POS-001,ETH,0.2491,1.78,0.005579,0.0,0.005579,-0.006308,-88.44,0.46,0.0,-0.232801,5.44,0xA3E3B7...
2026-03-30 11:15:25,POS-001,ETH,0.2491,1.51,0.00432,0.0,0.00432,0.002495,173.17,0.46,0.0,-0.228481,4.96,0xA3E3B7...
2026-03-30 13:59:47,POS-001,ETH,0.2491,2.74,0.006919,0.0,0.006919,0.009374,73.81,0.46,0.0,-0.221562,4.38,0xA3E3B7...
2026-03-30 15:20:05,POS-001,ETH,0.2491,1.34,0.004575,0.0,0.004575,-0.000553,-827.67,0.46,0.0,-0.216987,5.93,0xA3E3B7...
2026-03-30 17:09:43,POS-001,ETH,0.2491,1.83,0.006807,0.0,0.006807,0.00712,95.6,0.46,0.0,-0.21018,6.46,0xA3E3B7...
2026-03-30 18:04:59,POS-001,ETH,0.2491,0.92,0.000481,0.0,0.000481,9.5e-05,507.97,0.46,0.0,-0.209699,0.91,0xA3E3B7...
2026-03-30 19:16:48,POS-001,ETH,0.2491,1.2,0.003168,0.0,0.003168,0.003798,83.41,0.46,0.0,-0.206531,4.59,0xA3E3B7...
2026-03-30 20:58:49,POS-001,ETH,0.2491,1.7,-0.002046,0.0,-0.002046,-0.004197,48.75,0.46,0.0,-0.208577,-2.09,0xA3E3B7...
2026-03-30 21:54:27,POS-001,ETH,0.2491,0.93,-0.002727,0.0,-0.002727,0.002272,-120.03,0.46,0.0,-0.211304,-5.1,0xA3E3B7...
2026-03-30 22:52:50,POS-001,ETH,0.2491,0.97,0.002654,0.0,0.002654,0.003731,71.14,0.46,0.0,-0.20865,4.73,0xA3E3B7...
2026-03-30 23:49:26,POS-001,ETH,0.2491,0.94,0.003571,0.0,0.003571,-0.001105,-323.25,0.46,0.0,-0.205079,6.56,0xA3E3B7...
2026-03-31 03:26:27,POS-001,ETH,0.2491,3.62,0.013905,0.0,0.013905,0.010826,128.44,0.46,0.0,-0.191174,6.66,0xA3E3B7...
2026-03-31 05:50:09,POS-001,ETH,0.2491,2.4,0.012042,0.0,0.012042,0.01513,79.59,0.46,0.0,-0.179132,8.71,0xA3E3B7...
2026-03-31 07:43:20,POS-001,ETH,0.2491,1.89,0.009608,0.0,0.009608,0.009814,97.9,0.46,0.0,-0.169524,8.83,0xA3E3B7...
2026-03-31 09:14:50,POS-001,ETH,0.2491,1.53,0.006971,0.0,0.006971,0.006016,115.87,0.46,0.0,-0.162553,7.92,0xA3E3B7...
2026-03-31 11:08:26,POS-001,ETH,0.2491,1.89,-0.007077,0.0,-0.007077,-0.011253,62.89,0.46,0.0,-0.16963,-6.48,0xA3E3B7...
2026-03-31 11:58:21,POS-001,ETH,0.2491,0.83,0,0.0,0.0,-0.003365,-0.0,0.46,0.0,-0.16963,0.0,0xA3E3B7...
2026-03-31 13:58:27,POS-001,ETH,0.2491,2.0,-0.000477,0.0,-0.000477,0.000599,-79.69,0.46,0.0,-0.170107,-0.41,0xA3E3B7...
2026-03-31 15:18:46,POS-001,ETH,0.2491,1.34,0.008339,0.0,0.008339,0.003418,243.97,0.46,0.0,-0.161768,10.8,0xA3E3B7...
2026-03-31 17:11:50,POS-001,ETH,0.2491,1.88,0.003106,0.0,0.003106,0.002637,117.78,0.46,0.0,-0.158662,2.86,0xA3E3B7...
2026-03-31 19:17:02,POS-001,ETH,0.2491,2.09,-0.002293,0.0,-0.002293,-0.002726,84.11,0.46,0.0,-0.160955,-1.9,0xA3E3B7...
2026-03-31 20:55:08,POS-001,ETH,0.2491,1.64,-0.004256,0.0,-0.004256,-0.005501,77.37,0.46,0.0,-0.165211,-4.51,0xA3E3B7...
2026-03-31 21:52:08,POS-001,ETH,0.2491,0.95,-0.003396,0.0,-0.003396,-0.000286,1185.98,0.46,0.0,-0.168607,-6.2,0xA3E3B7...
2026-03-31 22:49:20,POS-001,ETH,0.2491,0.95,-0.002002,0.0,-0.002002,-0.006638,30.16,0.46,0.0,-0.170609,-3.64,0xA3E3B7...
2026-03-31 23:47:28,POS-001,ETH,0.2491,0.97,-0.005212,0.0,-0.005212,-0.001899,274.49,0.46,0.0,-0.175821,-9.32,0xA3E3B7...
2026-04-01 03:38:37,POS-001,ETH,0.2491,3.85,-0.004222,0.0,-0.004222,-0.015103,27.95,0.46,0.0,-0.180043,-1.9,0xA3E3B7...
2026-04-01 06:02:45,POS-001,ETH,0.2491,2.4,0.01262,0.0,0.01262,0.004178,302.07,0.46,0.0,-0.167423,9.11,0xA3E3B7...
2026-04-01 07:50:31,POS-001,ETH,0.2491,1.8,0.006698,0.0,0.006698,0.011346,59.03,0.46,0.0,-0.160725,6.46,0xA3E3B7...
2026-04-01 09:20:44,POS-001,ETH,0.2491,1.5,0.011453,0.0,0.011453,0.009498,120.58,0.46,0.0,-0.149272,13.2,0xA3E3B7...
