trade_id,coin,direction,opened_at_utc,closed_at_utc,duration_h,size_usd,hl_size_coin,counter_size_coin,entry_hl_fr_1h,entry_counter_fr_1h,entry_net_fr_1h,entry_hl_px,entry_counter_px,entry_spread,exit_hl_fr_1h,exit_counter_fr_1h,exit_net_fr_1h,est_funding_usd,est_cost_usd,est_net_usd,actual_hl_funding_usd,actual_lighter_funding_usd,actual_total_funding_usd,exit_reason
2026-04-20T113005-YZY,YZY,short_fr,2026-04-20 11:30:05,2026-04-20 18:00:01,6.499,90.0,299.0,299.3,-0.0001908134,-0.0027645,0.0025736866,0.30059,0.3007,0.00036594697095711427,1.25e-05,6.2e-05,-4.95e-05,-0.01,0.063,-0.073,0.0041,-0.014,-0.01,normal
2026-04-20T113005-2Z,2Z,short_fr,2026-04-20 11:30:05,2026-04-20 18:00:01,6.499,90.0,1062.0,1061.7,-5.25866e-05,-0.000268,0.0002154134,0.0847,0.08477,0.0008264462809917429,-6.974e-05,-5.9e-05,-1.074e-05,0.0023,0.063,-0.0607,-0.0405,0.0428,0.0023,normal
2026-04-20T113005-ZRO,ZRO,short_fr,2026-04-20 11:30:05,2026-04-20 21:30:00,9.999,90.0,57.9,57.9,1.492000000000002e-07,-0.00021849999999999997,0.0002186492,1.5533,1.55332,1.2875812785766448e-05,-1.984e-05,8e-06,-2.784e-05,0.0487,0.063,-0.0143,0.0022,0.0465,0.0487,normal
2026-04-20T180001-STABLE,STABLE,long_fr,2026-04-20 18:00:01,2026-04-21 10:30:01,16.5,90.0,3534.0,3536.0,-0.00021929965,-5.95e-05,0.00015979965,0.025473,0.025452,0.0008244023083264706,1.25e-05,4e-06,-8.5e-06,0.2317,0.063,0.1687,0.3058,-0.0741,0.2317,normal
2026-04-20T180001-TON,TON,short_fr,2026-04-20 18:00:01,2026-04-21 16:30:05,22.501,90.0,67.9,68.0,-3.643495e-05,-9.7e-05,6.0565050000000004e-05,1.3251,1.32436,-0.0005584484189872183,-1.81e-06,-1e-06,-8.1e-07,0.0756,0.063,0.0126,-0.0184,0.0939,0.0756,normal
2026-04-20T213000-AERO,AERO,short_fr,2026-04-20 21:30:00,2026-04-21 16:30:05,19.001,90.0,232.0,231.5,9.4256e-06,-8.6e-05,9.542559999999999e-05,0.38825,0.38869,0.0011332904056664417,-5.24e-05,-1.9e-05,-3.34e-05,0.0866,0.063,0.0236,-0.0538,0.1404,0.0866,normal
2026-04-20T113005-ICP,ICP,short_fr,2026-04-20 11:30:05,2026-04-21 19:30:05,32.0,90.0,37.1,37.06,7.8137e-06,-0.000297,0.0003048137,2.4286,2.4287,4.117598616495554e-05,-4.095e-05,-4e-05,-9.5e-07,0.0853,0.063,0.0223,0.0222,0.0631,0.0853,normal
2026-04-21T103001-XMR,XMR,long_fr,2026-04-21 10:30:01,2026-04-21 21:30:01,11.0,90.0,0.246,0.246,4.8515049999999996e-05,0.00012,7.148495000000001e-05,366.12,366.046,0.0002021195236534805,5.505e-05,2.5e-05,-3.005e-05,0.0583,0.063,-0.0047,-0.0829,0.1412,0.0583,normal
2026-04-21T163005-EIGEN,EIGEN,long_fr,2026-04-21 16:30:05,2026-04-22 00:30:02,7.999,90.0,508.47,508.6,-8.28294e-05,1.05e-05,9.33294e-05,0.1771,0.17696,0.0007905138339921018,1.25e-05,7e-06,-5.5e-06,0.0254,0.063,-0.0376,0.0218,0.0036,0.0254,normal
2026-04-21T183001-IP,IP,short_fr,2026-04-21 18:30:01,2026-04-22 02:30:01,8.0,90.0,177.4,177.34,-1.2097e-05,-8.9e-05,7.690299999999999e-05,0.5072,0.5075,0.0005914826498422061,-7.795e-05,-4.9e-05,-2.895e-05,0.0365,0.063,-0.0265,-0.0623,0.0988,0.0365,normal
